id,molecule_id,assay_id,endpoint_name,endpoint_category,measured_value,measured_unit,direction,significance_label,is_observed_experimental,source_document_id,source_location,evidence_grade
615,1090,892,hepatotoxicity,hepatic,,,increased,,1,10648,5. Conclusions; paragraph 51,C
616,299,893,hepatotoxicity,hepatic,,,increased,,1,11036,2. Materials and Methods > 2.3. Functional and Safety Assessments; paragraph 10,A
622,493,899,immune activation,immunotoxicity,,,no significant change,not significant,1,11357,Discussion; paragraph 9,C
623,551,900,hepatotoxicity,hepatic,,,increased,,1,11416,Results > Safety; paragraph 27,A
625,435,902,hepatotoxicity,hepatic,,,decreased,,1,11479,Discussion; paragraph 62,C
627,472,904,hepatotoxicity,hepatic,,,increased,,1,12444,RESULTS AND DISCUSSION > Evaluation of the efficacy of gene silencing with in vitro RT-PCR; paragraph 45,C
628,1028,905,hepatotoxicity,hepatic,,,no significant change,not significant,1,12446,Results > Influence of Nanoparticles on Tumor Growth and Survival Time in Orthotopic Glioblastoma Mice and Its Evaluation of Immunogenicity and Toxicity; paragraph 53,A
629,1091,906,hepatotoxicity,hepatic,,,no significant change,not significant,1,12453,Results and Discussion > Toxicity of cRGD-PEG-siRNA to Renal Tubular Epithelial Cells; paragraph 11,C
631,985,908,hepatotoxicity,hepatic,,,increased,,1,12500,Results and discussion > Inflammatory inhibition effect of the hybrid nanocomposite; paragraph 40,C
634,1075,911,cell viability/cytotoxicity,general safety,,,,,1,13678,Abstract > Methods; paragraph 2,B
639,1029,916,hepatotoxicity,hepatic,,,increased,,1,1136,Results > Optimized BROTHERS architectures mitigate hepatotoxicity without affecting antisense activity; paragraph 11,A
640,185,917,cell viability/cytotoxicity,general safety,,,,,1,1292,4. Materials and Methods > 4.8. Cytotoxicity Assay; paragraph 37,A
641,494,918,hepatotoxicity,hepatic,,,increased,,1,1955,Abstract > Methods; paragraph 2,B
642,1030,919,hepatotoxicity,hepatic,,,no significant change,not significant,1,1958,RESULTS > SH-BC-893 increases ASO delivery and activity in vitro; paragraph 20,A
643,435,920,hepatotoxicity,hepatic,,,decreased,,1,11811,Discussion; paragraph 24,C
644,1031,921,hepatotoxicity,hepatic,,,,,1,11827,Results > Design of locked nucleic acid (LNA) ASO gapmers targeting Atp1a2; Fig 1 caption,A
646,1032,923,hepatotoxicity,hepatic,,,no significant change,not significant,1,11931,Results > CPP-PMO antimiRs improve histopathology signs and muscle function in HSALR; paragraph 15,A
648,1033,925,hepatotoxicity,hepatic,,,no significant change,not significant,1,12175,RESULTS > Effect of Notch3 ASOs on Notch3 Expression in Cells of the Osteoblast Lineage; paragraph 17,A
650,1034,927,hepatotoxicity,hepatic,,,no significant change,not significant,1,13969,Results > Synergistic antitumor effects in vivo; paragraph 29,A
651,557,928,renal safety,renal,,,increased,,1,13975,Abstract; paragraph 1,B
652,443,929,hepatotoxicity,hepatic,,,increased,,1,14031,Discussion; paragraph 14,C
654,1035,931,hepatotoxicity,hepatic,,,increased,,1,14152,RESULTS > Safety; paragraph 27,A
656,443,933,hepatotoxicity,hepatic,,,increased,,1,14195,DISCUSSION; paragraph 60,C
657,559,934,hepatotoxicity,hepatic,,,increased,,1,14202,Abstract; paragraph 1,B
658,1036,935,immune activation,immunotoxicity,,,no significant change,not significant,1,14276,Results > DG9-PMO treatment rescues the SMA phenotype without apparent toxicity.; paragraph 19,A
659,1037,936,hepatotoxicity,hepatic,,,increased,,1,14302,2. Results > 2.6. CCK-BR Targeted NPs Exhibit Broad Safety Profile and Lack off Target Toxicity; paragraph 15,A
660,1038,937,hepatotoxicity,hepatic,,,decreased,,1,1485,"Results > MsPA backbone improves potency, whereas gap2 OMe reduces toxicity in cytotoxic PS ASOs; FIG. 1. caption",A
661,1039,938,hepatotoxicity,hepatic,,,no significant change,not significant,1,1615,Results > Initial tiling screen identified a parental ASO targeting the 3′ UTR of MAPT with high cross-species reactivity; paragraph 6,A
662,561,939,hepatotoxicity,hepatic,,,no significant change,not significant,1,1617,Results > Single-dose tolerability study of lead ASO candidates in cynomolgus monkeys; paragraph 17,A
664,1040,941,hepatotoxicity,hepatic,,,,,1,1964,Results > LNP containing DSPS can reach the cytoplasm of cells without detectable cytotoxicity; paragraph 14,A
665,1092,942,hepatotoxicity,hepatic,,,no significant change,not significant,1,1980,Results and Discussion > Cell Toxicity of Dendron–PNAs; paragraph 13,C
666,1041,943,hepatotoxicity,hepatic,,,increased,,1,1981,Results > Safety; paragraph 28,A
668,1042,945,hepatotoxicity,hepatic,,,decreased,,1,2727,Results > PS reduction optimizes ASO5 safety and activity in mice; paragraph 15,A
670,1043,947,hepatotoxicity,hepatic,,,no significant change,not significant,1,4051,Materials and Methods > The Cytotoxicity Studies of iRGD Functionalized Lipopolysaccharide-Amine Nanopolymersomes to Mesenchymal Stem Cells; paragraph 11,A
671,1093,948,hepatotoxicity,hepatic,,,,,1,4091,Results and discussion > In vivo anticancer activity and safety evaluation; paragraph 49,C
672,562,949,hepatotoxicity,hepatic,,,increased,,1,4092,RESULTS AND DISCUSSION > Hairpin-like Design Increases Serum Nuclease Resistance and Decreases SNA Cytotoxicity.; paragraph 12,C
676,1044,953,hepatotoxicity,hepatic,,,increased,,1,14660,Results > ASO1-cEt/DNA inhibits HCC cell growth; paragraph 29,A
677,485,954,hepatotoxicity,hepatic,,,decreased,,1,1635,4. Discussion; paragraph 36,C
678,563,955,hepatotoxicity,hepatic,,,,,1,1638,Abstract; paragraph 1,B
679,299,956,hepatotoxicity,hepatic,,,no significant change,not significant,1,1645,Results > In Vivo Effects of NVP-13 on Target Regulation and Intracellular Pathways: NVP-13 is a Safe and Effective Compound in Cynomolgus Monkeys; paragraph 8,A
680,1094,957,hepatotoxicity,hepatic,,,no significant change,not significant,1,1992,Discussion; paragraph 25,C
684,1095,961,hepatotoxicity,hepatic,,,increased,,1,14708,5. Conclusions; paragraph 30,C
686,1045,963,hepatotoxicity,hepatic,,,no significant change,not significant,1,14741,Results > Safety of Combined Therapy with CpG and the mRNA Vaccine; paragraph 28,A
687,1076,964,hepatotoxicity,hepatic,,,,,1,14753,2. Materials and Methods > 2.4. Method for Measuring Cytotoxic Effect of Compounds; paragraph 9,B
690,569,967,toxicity,general toxicity,,,,,1,14789,Abstract; paragraph 2,B
693,563,970,hepatotoxicity,hepatic,,,,,1,14905,"RESULTS > Effect of site-specific incorporation of R- and S-5′-methyl DNA on duplex thermal stability, ASO activity and toxicity in cells; Figure 3. caption",A
694,1046,971,hepatotoxicity,hepatic,,,no significant change,not significant,1,14926,Results > PMO‐M improves muscle pathologies without detectable toxicity in mdx mice; paragraph 20,A
695,1047,972,hepatotoxicity,hepatic,,,,,1,1492,2. Results > 2.1. Discovery Process; paragraph 7,A
696,1048,973,hepatotoxicity,hepatic,,,increased,,1,1660,Results > Toxicity status of chimeric LNA/2′OMe ASOs in vivo; paragraph 34,A
700,1049,977,hepatotoxicity,hepatic,,,no significant change,not significant,1,14986,"Results > MYC ASO Treatment Is Not Associated with Morbidity, Mortality, or Toxicity; paragraph 12",A
702,1050,979,hepatotoxicity,hepatic,,,increased,,1,2782,Results > Evaluation of in vitro cytotoxicity of the 2′-F modified AOs; paragraph 10,A
703,563,980,hepatotoxicity,hepatic,,,,,1,3148,RESULTS > A single MOP linkage at position 2 in the DNA gap reduces toxicity for multiple ASOs; paragraph 46,A
705,990,982,hepatotoxicity,hepatic,,,no significant change,not significant,1,4213,Results > Di-siRNA are safe and well-tolerated in mice; paragraph 21,A
706,1051,983,hepatotoxicity,hepatic,,,increased,,1,12610,Results > Phase I study results > Safety and tolerability; paragraph 45,A
708,1052,985,hepatotoxicity,hepatic,,,no significant change,not significant,1,15084,Results > BMSP-PMO-GF Does Not Evoke Any Overt Toxicity in Adult mdx Mice; paragraph 14,A
717,1077,994,hepatotoxicity,hepatic,,,no significant change,not significant,1,2323,Abstract; paragraph 1,B
723,575,1000,cell viability/cytotoxicity,general safety,,,,,1,12648,2. Materials and Methods > 2.10. Cytotoxicity study; paragraph 19,A
727,1053,1004,hepatotoxicity,hepatic,,,no significant change,not significant,1,4239,Results > P27 is upregulated in mouse tissues after LNA-i-miR-221 treatment; paragraph 8,A
729,1054,1006,hepatotoxicity,hepatic,,,,,1,12672,Results > Mstn siRNA cholesterol conjugate shows dose-dependent and sustained knockdown of Mstn mRNA in muscle and in circulating protein levels; paragraph 7,A
731,578,1008,hepatotoxicity,hepatic,,,decreased,,1,15206,Results; paragraph 6,A
736,494,1013,toxicity,general toxicity,,,,,1,4256,Abstract > Methods; paragraph 2,B
742,986,1019,hepatotoxicity,hepatic,,,decreased,,1,4288,Abstract; paragraph 1,B
743,986,1020,systemic safety/tolerability,general safety,,,increased,,1,1063,PubMed abstract,B
754,583,1031,hepatotoxicity,hepatic,,,,,1,3333,PubMed abstract,B
